iter	Logloss
0	0.6569309632
1	0.6324052675
2	0.613205993
3	0.5874439581
4	0.5722999771
5	0.5544508698
6	0.545178531
7	0.5310508884
8	0.5199218674
9	0.5136152409
10	0.5040803102
11	0.4979241836
12	0.4946960543
13	0.4914616464
14	0.4858886667
15	0.4824094044
16	0.475966015
17	0.4736381023
18	0.4714699407
19	0.4688034797
20	0.4656091633
21	0.4622401788
22	0.4597422893
23	0.458186621
24	0.4541759354
25	0.4516822463
26	0.4500082845
27	0.4479107767
28	0.4439331997
29	0.4410968068
30	0.4397268606
31	0.4377666189
32	0.43677034
33	0.4358276947
34	0.434932341
35	0.4341509367
36	0.4306566512
37	0.4300232709
38	0.4288407649
39	0.427656603
40	0.4265781082
41	0.4256883012
42	0.4249692976
43	0.424445259
44	0.423594954
45	0.4228583364
46	0.4222426256
47	0.4210104029
48	0.4190101426
49	0.4186787951
50	0.4170606763
51	0.4166977881
52	0.4163114506
53	0.4155423325
54	0.4143859362
55	0.4119347277
56	0.4111139755
57	0.409599251
58	0.4086741633
59	0.4082999469
60	0.4077503757
61	0.4072532549
62	0.4069280861
63	0.4061281678
64	0.4057450182
65	0.4051224654
66	0.4042962708
67	0.4040250645
68	0.4036738941
69	0.403101293
70	0.4027848076
71	0.4024284151
72	0.4021841343
73	0.4019097588
74	0.4016158034
75	0.4013075245
76	0.4007134892
77	0.3999762426
78	0.3994876196
79	0.3989642145
80	0.3986329631
81	0.3982178029
82	0.3978252675
83	0.3976351236
84	0.3974134027
85	0.3969959325
86	0.3961028075
87	0.3950927328
88	0.3946959069
89	0.3944384773
90	0.393336078
91	0.3924246779
92	0.3919894629
93	0.3916962416
94	0.3913827111
95	0.3908123712
96	0.3905765641
97	0.3901893276
98	0.3897251693
99	0.3893455784
100	0.3891235327
101	0.3888139486
102	0.3884851788
103	0.3882721795
104	0.3875339793
105	0.3866925808
106	0.3860426191
107	0.3850116108
108	0.3847101219
109	0.3841354468
110	0.3836350998
111	0.3831883514
112	0.382890902
113	0.3823183625
114	0.3815716607
115	0.3810064634
116	0.3802891833
117	0.3798699811
118	0.3793807275
119	0.3791435443
120	0.3787422099
121	0.3783922516
122	0.3780386899
123	0.3776031633
124	0.3772229251
125	0.3769478756
126	0.3764251909
127	0.375976054
128	0.3757270063
129	0.3755581509
130	0.3752476033
131	0.3749140647
132	0.3740541447
133	0.373416295
134	0.3731693378
135	0.3729458818
136	0.3725940781
137	0.3723482883
138	0.3720533216
139	0.3714358542
140	0.3711336141
141	0.3709754557
142	0.3704625202
143	0.3698393349
144	0.3696104758
145	0.3693172972
146	0.3690495794
147	0.368284121
148	0.3680460971
149	0.3676386877
150	0.3671777064
151	0.3670042509
152	0.3665632343
153	0.3662591567
154	0.3658050188
155	0.3655136483
156	0.3648669725
157	0.3644849852
158	0.3642961747
159	0.3640590696
160	0.3635569376
161	0.3632082259
162	0.362907316
163	0.3625088286
164	0.3622499533
165	0.36200945
166	0.3618048726
167	0.3613025839
168	0.3607685921
169	0.3603493273
170	0.3596729758
171	0.3594653118
172	0.3590000284
173	0.3588065958
174	0.3583826982
175	0.3579964145
176	0.357835957
177	0.357535045
178	0.3571493939
179	0.3570213976
180	0.3568406033
181	0.3564677317
182	0.3559030092
183	0.3556273931
184	0.3554102339
185	0.3549592062
186	0.354677338
187	0.3542467962
188	0.3540685868
189	0.3537930231
190	0.3534107915
191	0.353170556
192	0.3529257922
193	0.3525646653
194	0.3523665591
195	0.3519635044
196	0.351697075
197	0.3515714686
198	0.3513215326
199	0.3509302614
