,Word Count
798,35
799,31
800,43
801,21
802,26
803,45
804,18
805,65
806,37
807,67
808,17
809,39
810,9
811,3
812,69
813,57
814,13
815,40
816,6
817,18
818,6
819,27
820,29
821,51
822,12
823,49
824,17
825,52
826,13
827,7
828,5
829,8
830,25
831,56
832,13
833,6
834,21
835,17
836,4
837,40
838,66
839,8
840,8
841,9
842,65
843,9
844,9
845,8
846,6
847,17
848,3
849,41
850,27
851,5
852,35
853,10
854,21
855,25
856,15
857,8
858,6
859,8
860,8
861,44
862,50
863,39
864,24
865,25
866,94
867,21
868,47
869,29
870,27
871,37
872,12
873,22
874,29
875,30
876,40
877,29
878,25
879,54
880,42
881,13
882,18
883,11
884,10
885,7
886,48
887,11
888,22
889,11
890,47
891,10
892,40
893,25
894,35
895,16
896,21
897,48
898,45
899,11
900,9
901,13
902,32
903,6
904,5
905,6
906,5
907,11
908,49
909,18
910,25
911,14
912,52
913,43
914,26
915,10
916,53
917,17
918,6
919,29
920,18
921,11
922,37
923,23
924,32
925,40
926,34
927,22
928,51
929,61
930,21
931,35
932,87
933,60
934,30
935,24
936,13
937,4
938,37
939,45
940,53
941,32
942,49
943,22
944,20
945,82
946,16
947,31
948,9
949,40
950,45
951,53
952,32
953,58
954,33
955,14
956,29
957,12
958,19
959,25
960,64
961,15
962,65
963,9
964,30
965,22
966,29
967,13
968,19
969,50
970,5
971,17
972,26
973,7
974,10
975,15
976,36
977,3
978,2
979,8
980,5
981,7
982,22
983,21
984,37
985,46
986,11
987,15
988,25
989,38
990,22
991,21
992,15
993,28
994,27
995,20
996,63
997,30
998,16
999,32
1000,11
1001,13
1002,11
1003,35
1004,52
1005,18
1006,94
1007,46
1008,15
1009,10
1010,254
1011,21
1012,75
1013,40
1014,40
1015,9
1016,32
1017,3
1018,16
1019,8
1020,10
1021,59
1022,39
1023,7
1024,19
1025,57
1026,5
1027,12
1028,8
1029,12
1030,10
1031,11
1032,6
1033,9
1034,14
1035,12
1036,9
1037,7
1038,8
1039,14
1040,7
1041,8
1042,16
1043,12
1044,11
1045,8
1046,22
1047,11
1048,6
1049,3
1050,9
1051,45
1052,46
1053,21
1054,44
1055,43
1056,30
1057,24
1058,29
1059,9
1060,9
1061,10
1062,47
1063,5
1064,22
1065,27
1066,21
1067,18
1068,12
1069,13
1070,13
1071,12
1072,5
1073,8
1074,5
1075,22
1076,17
1077,9
1078,13
1079,51
1080,29
1081,25
1082,39
1083,8
1084,50
1085,39
1086,23
1087,16
1088,11
1089,19
1090,53
1091,25
1092,17
1093,9
1094,33
1095,32
1096,59
1097,24
1098,22
1099,11
1100,7
1101,11
1102,8
1103,45
1104,12
1105,104
1106,36
1107,18
1108,6
1109,22
1110,17
1111,27
1112,47
1113,8
1114,23
1115,8
1116,19
1117,27
1118,41
1119,3
1120,12
1121,25
1122,14
1123,3
1124,39
1125,17
1126,3
1127,84
1128,13
1129,42
1130,6
1131,4
1132,5
1133,3
1134,2
1135,54
1136,58
1137,41
1138,92
1139,9
1140,11
1141,12
1142,27
1143,48
1144,43
1145,13
1146,28
1147,61
1148,31
1149,27
1150,67
1151,23
1152,44
1153,8
1154,28
1155,14
1156,44
1157,61
1158,53
1159,7
1160,37
1161,40
1162,5
1163,11
1164,12
1165,24
1166,31
1167,42
1168,8
1169,13
1170,18
1171,12
1172,20
1173,19
1174,40
1175,20
1176,33
1177,14
1178,12
1179,7
1180,10
1181,8
1182,43
1183,6
1184,24
1185,51
1186,32
1187,27
1188,21
1189,16
1190,14
1191,3
1192,26
1193,33
1194,22
1195,12
1196,59
1197,70
1198,13
1199,20
1200,17
1201,2
1202,13
1203,10
1204,5
1205,34
1206,32
1207,31
1208,27
1209,19
1210,26
1211,36
1212,35
1213,56
1214,34
1215,70
1216,54
1217,60
1218,53
1219,5
1220,38
1221,78
1222,25
1223,12
1224,63
1225,28
1226,72
1227,51
1228,18
1229,19
1230,34
1231,43
1232,66
1233,27
1234,29
1235,20
1236,35
1237,53
1238,70
1239,27
1240,37
1241,53
1242,18
1243,41
1244,3
1245,7
1246,4
1247,51
1248,30
1249,47
1250,15
1251,54
1252,43
1253,17
1254,11
1255,58
1256,27
1257,28
1258,24
1259,48
1260,41
1261,24
1262,47
1263,23
1264,52
1265,39
1266,31
1267,12
1268,9
1269,5
1270,6
1271,16
1272,11
1273,43
1274,34
1275,40
1276,12
1277,12
1278,8
1279,31
1280,36
1281,73
1282,57
1283,51
1284,96
1285,67
1286,54
1287,25
1288,10
1289,57
1290,15
1291,10
1292,41
1293,17
1294,71
1295,54
1296,34
1297,31
1298,39
1299,15
1300,40
1301,24
1302,19
1303,75
1304,20
1305,76
1306,21
1307,46
1308,37
1309,62
1310,64
1311,25
1312,35
1313,68
1314,12
1315,27
1316,71
1317,10
1318,35
1319,21
1320,33
1321,3
1322,34
1323,62
1324,40
1325,17
1326,34
1327,10
1328,44
1329,23
1330,5
1331,26
1332,11
1333,17
1334,41
1335,40
1336,23
1337,42
1338,32
1339,29
1340,19
1341,18
1342,23
1343,32
1344,59
1345,6
1346,14
1347,59
1348,11
1349,21
1350,25
1351,11
1352,42
1353,3
1354,118
1355,21
1356,8
1357,43
1358,39
1359,27
1360,15
1361,58
1362,17
1363,29
1364,77
1365,26
1366,33
1367,23
1368,58
1369,31
1370,27
1371,52
1372,47
1373,34
1374,49
1375,26
1376,86
1377,30
1378,16
1379,12
1380,34
1381,21
1382,51
1383,87
1384,17
1385,14
1386,18
1387,62
1388,94
1389,8
1390,13
1391,50
1392,37
1393,37
1394,24
1395,57
1396,8
1397,29
1398,14
1399,31
1400,15
1401,17
1402,37
1403,9
1404,5
1405,14
1406,15
1407,4
1408,7
1409,6
1410,8
1411,11
1412,23
1413,17
1414,20
1415,34
1416,20
1417,60
1418,12
1419,8
1420,5
1421,7
1422,28
1423,4
1424,25
1425,8
1426,5
1427,4
1428,5
1429,31
1430,18
1431,37
1432,44
1433,24
1434,134
1435,7
1436,13
1437,22
1438,40
1439,47
1440,15
1441,8
1442,57
1443,13
1444,50
1445,34
1446,55
1447,29
1448,19
1449,34
1450,43
1451,28
1452,6
1453,17
1454,10
1455,35
1456,14
1457,9
1458,15
1459,17
1460,34
1461,30
1462,8
1463,34
1464,20
1465,32
1466,7
1467,17
1468,12
1469,48
1470,54
1471,80
1472,65
1473,28
1474,91
1475,79
1476,15
1477,59
1478,69
1479,16
1480,78
1481,41
1482,64
1483,31
1484,36
1485,23
1486,68
1487,11
1488,57
1489,47
1490,47
1491,18
1492,58
1493,44
1494,35
1495,18
1496,40
1497,11
1498,21
1499,27
1500,7
1501,11
1502,26
1503,8
1504,16
1505,46
1506,26
1507,11
1508,21
1509,15
1510,50
1511,9
1512,28
1513,16
1514,11
1515,13
1516,20
1517,6
1518,24
1519,50
1520,20
1521,8
1522,8
1523,8
1524,6
1525,4
1526,40
1527,18
1528,34
1529,48
1530,20
1531,20
1532,44
1533,10
1534,95
1535,15
1536,29
1537,47
1538,6
1539,47
1540,20
1541,14
1542,31
1543,9
1544,15
1545,14
1546,37
1547,14
1548,18
1549,33
1550,10
1551,59
1552,23
1553,26
1554,16
1555,29
1556,22
1557,30
1558,3
1559,31
1560,43
1561,38
1562,43
1563,20
1564,24
1565,31
1566,15
1567,40
1568,6
1569,22
1570,35
1571,24
1572,54
1573,35
1574,26
1575,27
1576,74
1577,20
1578,48
1579,30
1580,41
1581,26
1582,28
1583,11
1584,23
1585,23
1586,22
1587,11
1588,30
1589,74
1590,52
1591,89
1592,8
1593,19
1594,13
1595,21
1596,36
1597,41
1598,22
1599,52
1600,31
1601,44
1602,93
1603,21
1604,26
1605,60
1606,9
1607,91
1608,36
1609,49
1610,29
1611,57
1612,61
1613,23
1614,32
1615,71
1616,57
1617,20
1618,38
1619,76
1620,11
1621,48
1622,38
1623,52
1624,48
1625,87
1626,20
1627,6
1628,8
1629,5
1630,59
1631,21
1632,40
1633,11
1634,11
1635,17
1636,64
1637,157
1638,11
1639,20
1640,63
1641,13
1642,24
1643,12
1644,24
1645,53
1646,50
1647,25
1648,3
1649,71
1650,5
1651,2
1652,23
1653,13
1654,13
1655,43
1656,82
1657,34
1658,18
1659,17
1660,15
1661,24
1662,48
1663,4
1664,64
1665,53
1666,19
1667,24
1668,17
1669,40
1670,25
1671,57
1672,20
1673,38
1674,10
1675,15
1676,30
1677,26
1678,26
1679,16
1680,105
1681,103
1682,12
1683,28
1684,59
1685,12
1686,34
1687,35
1688,26
1689,74
1690,72
1691,43
1692,19
1693,77
1694,17
1695,36
1696,5
1697,13
1698,10
1699,10
1700,10
1701,20
1702,17
1703,10
1704,34
1705,36
1706,63
1707,67
1708,46
1709,30
1710,14
1711,45
1712,26
1713,6
1714,120
1715,73
1716,47
1717,25
1718,26
1719,34
1720,20
1721,22
1722,25
1723,10
1724,10
1725,12
1726,26
1727,15
1728,21
1729,20
1730,5
1731,40
1732,34
1733,10
1734,6
1735,30
1736,70
1737,62
1738,66
1739,39
1740,26
1741,20
1742,18
1743,8
1744,9
1745,10
1746,33
1747,26
1748,19
1749,7
1750,33
1751,8
1752,82
1753,49
1754,19
1755,12
1756,35
1757,8
1758,36
1759,74
1760,26
1761,61
1762,60
1763,10
1764,24
1765,35
1766,15
1767,18
1768,4
1769,4
1770,33
1771,34
1772,29
1773,7
1774,34
1775,5
1776,16
1777,24
1778,35
1779,84
1780,36
1781,39
1782,32
1783,11
1784,14
1785,62
1786,136
1787,37
1788,61
1789,45
1790,21
1791,49
1792,3
1793,46
1794,51
1795,18
1796,29
1797,37
1798,30
1799,21
1800,37
1801,27
1802,9
1803,19
1804,10
1805,64
1806,25
1807,9
1808,107
1809,15
1810,38
1811,32
1812,27
1813,7
1814,11
1815,11
1816,16
1817,23
1818,9
1819,7
1820,38
1821,33
1822,58
1823,47
1824,67
1825,42
1826,14
1827,33
1828,37
1829,37
1830,8
1831,24
1832,30
1833,22
1834,8
1835,20
1836,16
1837,13
1838,13
1839,15
1840,44
1841,6
1842,14
1843,15
1844,14
1845,7
1846,20
1847,32
1848,20
1849,27
1850,7
1851,34
1852,7
1853,27
1854,48
1855,25
1856,44
1857,8
1858,42
1859,17
1860,11
1861,28
1862,3
1863,10
1864,7
1865,13
1866,29
1867,15
1868,12
1869,4
1870,80
1871,21
1872,10
1873,34
1874,25
1875,49
1876,20
1877,7
1878,18
1879,4
1880,9
1881,21
1882,10
1883,31
1884,22
1885,5
1886,6
1887,6
1888,9
1889,26
1890,29
1891,5
1892,15
1893,95
1894,20
1895,20
1896,17
1897,40
1898,10
1899,18
1900,31
1901,18
1902,73
1903,111
1904,33
1905,26
1906,75
1907,17
1908,49
1909,24
1910,23
1911,20
1912,25
1913,21
1914,21
1915,47
1916,38
1917,19
1918,17
1919,18
1920,29
1921,14
1922,24
1923,15
1924,19
1925,18
1926,10
1927,16
1928,44
1929,16
1930,9
1931,17
1932,7
1933,18
1934,30
1935,42
1936,15
1937,135
1938,11
1939,11
1940,5
1941,5
1942,24
1943,15
1944,10
1945,8
1946,4
1947,18
1948,56
1949,50
1950,22
1951,40
1952,102
1953,34
1954,17
1955,82
1956,56
1957,29
1958,76
1959,35
1960,15
1961,40
1962,17
1963,41
1964,31
1965,39
1966,19
1967,17
1968,23
1969,33
1970,12
1971,38
1972,17
1973,21
1974,38
1975,33
1976,32
1977,34
1978,42
1979,14
1980,10
1981,15
1982,29
1983,33
1984,21
1985,94
1986,22
1987,9
1988,9
1989,17
1990,6
1991,9
1992,20
1993,67
1994,10
1995,14
1996,7
1997,5
1998,8
1999,8
2000,26
2001,12
2002,54
2003,13
2004,36
2005,13
2006,12
2007,76
2008,49
2009,16
2010,12
2011,12
2012,11
2013,31
2014,49
2015,9
2016,54
2017,80
2018,44
2019,16
2020,20
2021,70
2022,20
2023,8
2024,18
2025,76
2026,6
2027,17
2028,44
2029,36
2030,21
2031,10
2032,21
2033,49
2034,13
2035,14
2036,20
2037,11
2038,6
2039,13
2040,30
2041,20
2042,17
2043,9
2044,14
2045,8
2046,17
2047,55
2048,33
2049,49
2050,35
2051,68
2052,83
2053,63
2054,54
2055,96
2056,84
2057,37
2058,7
2059,27
2060,35
2061,39
2062,33
2063,16
2064,24
2065,36
2066,5
2067,30
2068,25
2069,15
2070,41
2071,27
2072,30
2073,43
2074,11
2075,84
2076,45
2077,33
2078,13
2079,45
2080,38
2081,4
2082,21
2083,10
2084,42
2085,29
2086,42
2087,61
2088,45
2089,17
2090,11
2091,5
2092,14
2093,19
2094,7
2095,29
2096,35
2097,24
2098,10
2099,31
2100,30
2101,30
2102,54
2103,28
2104,12
2105,29
2106,33
2107,44
2108,39
2109,16
2110,66
2111,9
2112,13
2113,24
2114,147
2115,29
2116,46
2117,31
2118,30
2119,6
2120,39
2121,15
2122,29
2123,24
2124,32
2125,32
2126,21
2127,23
2128,10
2129,11
2130,21
2131,19
2132,61
2133,65
2134,8
2135,27
2136,58
2137,71
2138,72
2139,7
2140,7
2141,30
2142,25
2143,30
2144,6
2145,21
2146,7
2147,22
2148,3
2149,15
2150,43
2151,47
2152,19
2153,29
2154,10
2155,16
2156,20
2157,3
2158,18
2159,13
2160,7
2161,31
2162,21
2163,29
2164,21
2165,30
2166,16
2167,33
2168,52
2169,42
2170,18
2171,15
2172,57
2173,61
2174,29
2175,31
2176,30
2177,9
2178,44
2179,31
2180,5
2181,51
2182,48
2183,32
2184,43
2185,44
2186,22
2187,33
2188,15
2189,10
2190,21
2191,32
2192,42
2193,32
2194,20
2195,48
2196,29
2197,62
2198,15
2199,40
2200,19
2201,12
2202,19
2203,64
2204,42
2205,57
2206,9
2207,14
2208,61
2209,14
2210,13
2211,8
2212,12
2213,19
2214,9
2215,23
2216,17
2217,34
2218,26
2219,19
2220,28
2221,71
2222,6
2223,23
2224,162
2225,45
2226,18
2227,39
2228,48
2229,12
2230,29
2231,12
2232,14
2233,11
2234,58
2235,16
2236,11
2237,28
2238,52
2239,29
2240,9
2241,29
2242,25
2243,21
2244,51
2245,74
2246,28
2247,5
2248,18
2249,6
2250,20
2251,57
2252,58
2253,53
2254,42
2255,67
2256,25
2257,47
2258,49
2259,28
2260,44
2261,29
2262,10
2263,20
2264,37
2265,44
2266,30
2267,23
2268,18
2269,24
2270,32
2271,6
2272,34
2273,44
2274,4
2275,13
2276,37
2277,35
2278,49
2279,13
2280,27
2281,124
2282,28
2283,9
2284,40
2285,12
2286,17
2287,36
2288,13
2289,41
2290,16
2291,18
2292,31
2293,9
2294,74
2295,57
2296,13
2297,33
2298,24
2299,81
2300,70
2301,85
2302,67
2303,28
2304,40
2305,39
2306,29
2307,37
2308,27
2309,12
2310,21
2311,41
2312,33
2313,31
2314,18
2315,14
2316,24
2317,16
2318,21
2319,23
2320,18
2321,11
2322,34
2323,9
2324,23
2325,4
2326,6
2327,3
2328,50
2329,25
2330,38
2331,9
2332,38
2333,19
2334,32
2335,25
2336,24
2337,51
2338,12
2339,53
2340,34
2341,56
2342,27
2343,13
2344,26
2345,8
2346,67
2347,26
2348,18
2349,44
2350,43
2351,26
2352,21
2353,12
2354,46
2355,12
2356,41
2357,21
2358,61
2359,90
2360,72
2361,49
2362,42
2363,38
2364,18
2365,47
2366,21
2367,55
2368,18
2369,11
2370,60
2371,58
2372,33
2373,7
2374,13
2375,22
2376,34
2377,60
2378,16
2379,11
2380,20
2381,25
2382,18
2383,17
2384,17
2385,40
2386,20
2387,66
2388,20
2389,6
2390,9
2391,42
2392,43
2393,27
2394,31
2395,61
2396,34
2397,86
2398,3
2399,3
2400,7
2401,2
2402,24
2403,17
2404,7
2405,16
2406,23
2407,8
2408,13
2409,7
2410,38
2411,13
2412,42
2413,8
2414,24
2415,10
2416,11
2417,81
2418,25
2419,13
2420,12
2421,9
2422,146
2423,85
2424,39
2425,45
2426,49
2427,30
2428,58
2429,43
2430,29
2431,22
2432,20
2433,24
2434,19
2435,40
2436,29
2437,68
2438,32
2439,50
2440,38
2441,13
2442,52
2443,18
2444,34
2445,40
2446,39
2447,19
2448,63
2449,42
2450,46
2451,24
2452,34
2453,68
2454,12
2455,19
2456,44
2457,3
2458,18
2459,44
2460,24
2461,11
2462,91
2463,62
2464,16
2465,52
2466,47
2467,48
2468,11
2469,53
2470,27
2471,56
2472,31
2473,21
2474,19
2475,28
2476,46
2477,32
2478,80
2479,61
2480,22
2481,26
2482,18
2483,65
2484,48
2485,7
2486,76
2487,35
2488,26
2489,18
2490,34
2491,15
2492,27
2493,31
2494,33
2495,23
2496,57
2497,31
2498,32
2499,18
2500,65
2501,61
2502,46
2503,77
2504,40
2505,74
2506,50
2507,60
2508,20
2509,47
2510,29
2511,7
2512,15
2513,22
2514,33
2515,6
2516,32
2517,17
2518,54
2519,27
2520,39
2521,104
2522,23
2523,50
2524,69
2525,50
2526,43
2527,35
2528,47
2529,46
2530,18
2531,15
2532,7
2533,9
2534,7
2535,17
2536,38
2537,22
2538,19
2539,15
2540,13
2541,8
2542,11
2543,37
2544,16
2545,42
2546,8
2547,12
2548,8
2549,28
2550,29
2551,17
2552,9
2553,29
2554,17
2555,24
2556,36
2557,13
2558,23
2559,74
2560,6
2561,38
2562,9
2563,8
2564,37
2565,51
2566,16
2567,10
2568,15
2569,69
2570,20
2571,3
2572,19
2573,3
2574,102
2575,15
2576,20
2577,34
2578,75
2579,26
2580,22
2581,59
2582,48
2583,44
2584,62
2585,42
2586,26
2587,11
2588,6
2589,40
2590,39
2591,67
2592,34
2593,33
2594,27
2595,46
2596,43
2597,18
2598,11
2599,47
2600,31
2601,17
2602,27
2603,23
2604,40
2605,47
2606,62
2607,85
2608,50
2609,36
2610,62
2611,13
2612,50
2613,55
2614,22
2615,40
2616,16
2617,91
2618,13
2619,17
2620,14
2621,14
2622,42
2623,31
2624,105
2625,24
2626,10
2627,12
2628,38
2629,34
2630,11
2631,23
2632,48
2633,38
2634,12
2635,70
2636,81
2637,38
2638,8
2639,21
2640,57
2641,39
2642,58
2643,29
2644,34
2645,67
2646,24
2647,28
2648,37
2649,99
2650,4
2651,20
2652,21
2653,52
2654,14
2655,16
2656,40
2657,10
2658,6
2659,13
2660,11
2661,6
2662,10
2663,62
2664,72
2665,7
2666,52
2667,95
2668,15
2669,18
2670,33
2671,37
2672,49
2673,75
2674,18
2675,17
2676,22
2677,33
2678,19
2679,27
2680,21
2681,69
2682,60
2683,46
2684,18
2685,10
2686,22
2687,40
2688,21
2689,45
2690,8
2691,47
2692,38
2693,7
2694,7
2695,93
2696,21
2697,11
2698,36
2699,35
2700,21
2701,65
2702,23
2703,26
2704,21
2705,14
2706,34
2707,13
2708,67
2709,39
2710,13
2711,33
2712,17
2713,22
2714,104
2715,22
2716,20
2717,58
2718,16
2719,42
2720,49
2721,42
2722,41
2723,57
2724,8
2725,32
2726,56
2727,68
2728,39
2729,24
2730,29
2731,52
2732,27
2733,20
2734,39
2735,14
2736,30
2737,27
2738,12
2739,44
2740,27
2741,36
2742,22
2743,39
2744,33
2745,103
2746,49
2747,17
2748,51
2749,31
2750,34
2751,34
2752,21
2753,24
2754,51
2755,22
2756,42
2757,29
2758,57
2759,33
2760,57
2761,40
2762,16
2763,25
2764,22
2765,29
2766,60
2767,42
2768,13
2769,29
2770,25
2771,29
2772,26
2773,43
2774,18
2775,22
2776,79
2777,14
2778,50
2779,37
2780,47
2781,20
2782,75
2783,22
2784,95
2785,36
2786,39
2787,14
2788,11
2789,94
2790,68
2791,96
2792,75
2793,22
2794,23
2795,101
2796,64
2797,69
2798,37
2799,58
2800,23
2801,89
2802,75
2803,38
2804,42
2805,45
2806,42
2807,9
2808,35
2809,38
2810,64
2811,29
2812,41
2813,60
2814,57
2815,20
2816,10
2817,29
2818,21
2819,23
2820,8
2821,64
2822,30
2823,45
2824,8
2825,19
2826,37
2827,3
2828,5
2829,9
2830,106
2831,44
2832,36
2833,15
2834,17
2835,8
2836,68
2837,37
2838,42
2839,27
2840,19
2841,13
2842,16
2843,9
2844,24
2845,26
2846,33
2847,61
2848,50
2849,48
2850,78
2851,39
2852,23
2853,86
2854,34
2855,28
2856,44
2857,52
2858,37
2859,26
2860,25
2861,17
2862,20
2863,30
2864,13
2865,7
2866,101
2867,40
2868,29
2869,69
2870,24
2871,13
2872,7
2873,17
2874,28
2875,50
2876,51
2877,19
2878,18
2879,15
2880,16
2881,29
2882,35
2883,38
2884,30
2885,14
2886,29
2887,5
2888,43
2889,79
2890,49
2891,26
2892,7
2893,54
2894,12
2895,2
2896,40
2897,19
2898,28
2899,30
2900,68
2901,45
2902,80
2903,22
2904,60
2905,57
2906,18
2907,58
2908,44
2909,74
2910,23
2911,91
2912,103
2913,75
2914,27
2915,11
2916,10
2917,11
2918,27
2919,57
2920,66
2921,65
2922,56
2923,20
2924,58
2925,21
2926,10
2927,10
2928,53
2929,29
2930,72
2931,35
2932,17
2933,53
2934,105
2935,44
2936,51
2937,36
2938,19
2939,13
2940,26
2941,15
2942,21
2943,32
2944,10
2945,81
2946,72
2947,27
2948,27
2949,115
2950,11
2951,16
2952,23
2953,13
2954,55
2955,22
2956,11
2957,25
2958,12
2959,50
2960,15
2961,47
2962,20
2963,27
2964,49
2965,30
2966,56
2967,19
2968,69
2969,35
2970,68
2971,31
2972,44
2973,62
2974,13
2975,81
2976,17
2977,5
2978,15
2979,47
2980,11
2981,29
2982,30
2983,53
2984,70
2985,52
2986,44
2987,42
2988,34
2989,36
2990,51
2991,28
2992,88
2993,85
2994,22
2995,38
2996,21
