Word,Frequency
fancy,50
truth,50
themselves,50
trust,50
foot,49
perfect,49
unhappy,49
tone,49
ran,49
cry,49
story,49
likely,49
feet,49
run,49
white,49
none,49
particularly,49
baby,49
laugh,48
rosa,48
express,48
stand,48
pursued,48
changed,48
afternoon,48
crying,48
sophy,48
wrong,48
ah,47
reference,47
paper,47
proud,47
soul,47
husband,47
forgive,47
picture,47
sent,47
wine,47
written,47
different,47
top,47
wrote,47
beyond,47
fine,47
particular,47
silent,47
easily,47
observe,47
gentlemen,47
jorkins,46
common,46
carried,46
extremely,46
consider,46
months,46
feelings,46
waiting,46
blue,46
miserable,46
effect,46
assure,46
pride,46
waiter,46
giving,46
till,46
altogether,46
pounds,46
softly,46
oclock,45
letters,45
glance,45
minute,45
delighted,45
conversation,45
stop,45
broke,45
church,45
paid,45
comfortable,45
condition,45
distance,45
court,45
canterbury,45
settled,45
necessary,44
impression,44
affection,44
difficulty,44
hundred,44
reply,44
raised,44
books,44
consideration,44
presently,44
besides,44
writing,44
mouth,44
respect,44
view,44
talked,44
marriage,43
kitchen,43
cold,43
seems,43
everybody,43
theer,43
duty,43
bit,43
nose,43
neither,43
presence,42
informed,42
added,42
legs,42
streets,42
begin,42
deep,42
heavy,42
dearest,42
either,42
generally,42
died,41
influence,41
clara,41
makes,41
stay,41
ago,41
wait,41
opportunity,41
stairs,41
entered,41
aware,41
grey,41
burst,41
otherwise,41
allow,41
trying,41
die,41
sweet,41
whats,41
seven,41
cut,41
broken,41
glancing,40
beside,40
uncle,40
become,40
able,40
looks,40
darling,40
opposite,40
expect,40
understood,40
position,40
clear,40
fear,40
seem,40
bought,40
former,40
pray,40
keeping,40
delightful,40
cheerful,40
wonderful,39
afore,39
sake,39
ha,39
reading,39
secret,39
jack,39
touch,39
seat,39
kiss,39
unless,39
tonight,39
ladies,39
green,39
expressed,39
wild,39
receive,39
today,38
ears,38
thrown,38
bound,38
showed,38
during,38
four,38
struck,38
desk,38
act,38
papers,38
sun,38
sharp,38
suddenly,38
leaving,38
pass,38
neck,37
memory,37
clothes,37
holding,37
littimer,37
markleham,37
joy,37
wooden,37
step,37
rose,37
pale,37
minutes,37
hot,37
emily,37
beginning,37
proposed,37
pardon,37
moments,37
anxious,36
followed,36
parting,36
free,36
thousand,36
inn,36
dress,36
dream,36
forth,36
journey,36
judge,36
resolved,36
although,36
clarissa,36
solitary,36
earnest,36
watch,36
led,36
society,36
dog,36
dull,36
girls,36
devoted,36
fall,35
utmost,35
rising,35
passing,35
worse,35
peace,35
martha,35
fast,35
cast,35
ourselves,35
resumed,35
comfort,35
shining,35
forward,35
pair,35
sensible,35
frightened,35
janet,34
moved,34
surprise,34
longer,34
remain,34
calm,34
opening,34
affectionate,34
cart,34
roof,34
presented,34
delight,34
notice,34
forever,34
yours,34
forgotten,34
larkins,34
gentle,34
unfortunate,34
uncomfortable,34
cross,33
leg,33
gradually,33
liberty,33
eight,33
shadow,33
windows,33
welcome,33
leaves,33
floor,33
order,33
shed,33
agoing,33
steerforths,33
rough,33
bedroom,33
plain,33
bonnet,33
beauty,33
trembling,33
intention,33
addressed,32
distant,32
hoped,32
minnie,32
whisper,32
naturally,32
excuse,32
difficult,32
others,32
gate,32
flowers,32
innocent,32
living,32
parted,32
experience,32
calling,32
leaning,32
loving,32
companion,32
cause,32
born,32
fit,32
quietly,32
spare,32
ive,31
handsome,31
drew,31
private,31
nodded,31
quinion,31
age,31
greatly,31
nearer,31
touching,31
terms,31
fond,31
favour,31
pen,31
kissed,31
connection,31
lord,31
downstairs,31
human,31
cruel,31
finished,31
difficulties,31
sofa,31
extraordinary,31
hearing,31
youth,31
friendly,31
nearly,31
servant,31
dover,31
occurred,30
horse,30
direction,30
d,30
pain,30
familiar,30
affected,30
art,30
covered,30
directly,30
danl,30
rejoined,30
cottage,30
dressed,30
punch,30
period,30
spirit,30
piece,30
sky,30
busy,30
touched,30
mad,30
telling,29
death,29
worth,29
real,29
remembered,29
childish,29
blow,29
desire,29
nonsense,29
breaking,29
knowd,29
coat,29
wondering,29
drink,29
salem,29
doors,29
begged,29
address,29
bent,29
yard,29
admiration,29
respectable,29
sorrow,29
serious,29
party,29
empty,29
rubbing,29
front,29
action,29
appear,29
niece,29
prepared,28
women,28
favourite,28
worked,28
thanked,28
hadnt,28
whenever,28
public,28
constantly,28
easy,28
grief,28
plainly,28
earth,28
candle,28
number,28
domestic,28
jane,28
finger,28
arrived,28
neighbourhood,28
churchyard,28
played,28
cousin,28
wondered,28
bosom,28
river,28
eldest,28
shake,28
future,28
daisy,27
thoughtfully,27
unable,27
weeks,27
dropped,27
various,27
vain,27
prospect,27
nine,27
fallen,27
carrying,27
fresh,27
soldier,27
tune,27
murdstones,27
stranger,27
events,27
folded,27
smiling,27
learn,27
continued,27
observing,27
mere,27
ship,27
line,27
beach,27
laying,27
conscious,27
promise,27
w,27
meaning,27
wickfields,27
friendship,27
bell,27
confusion,27
following,27
proceeded,27
houses,27
extent,27
excellent,27
observation,27
thankful,27
dreadful,27
o,26
j,26
begun,26
dread,26
someone,26
sing,26
carrier,26
fancied,26
trees,26
curious,26
existence,26
uneasy,26
anywhere,26
around,26
kindness,26
loss,26
doady,26
tired,26
carry,26
spot,26
passage,26
playing,26
growing,26
sudden,26
goes,26
finding,26
boots,26
cap,26
miles,26
contrary,26
glanced,26
soft,26
considering,26
lifted,25
yesterday,25
places,25
strength,25
self,25
closed,25
occasions,25
charge,25
havent,25
sunday,25
clerk,25
acquaintance,25
play,25
possession,25
forehead,25
evidently,25
knees,25
shame,25
useful,25
refer,25
disposition,25
warm,25
produced,25
knee,25
establishment,25
somewhere,25
partner,25
seek,25
consequence,25
wasnt,25
england,25
accustomed,25
captain,25
goodness,25
joram,25
angel,25
wide,24
mistaken,24
foolish,24
bag,24
system,24
blood,24
relief,24
listening,24
possessed,24
blunderstone,24
affairs,24
heartily,24
justice,24
pay,24
fixed,24
caught,24
dry,24
truly,24
desert,24
pipe,24
isnt,24
history,24
t,24
listened,24
reminded,24
weary,24
relieved,24
staircase,24
remarked,24
st,24
pause,24
earnestness,24
remark,24
butcher,24
coffee,24
degree,24
highly,24
latter,24
worthy,24
knife,24
retired,24
hinted,24
tis,24
strongs,24
interposed,24
stopping,24
gently,24
